summary_date,score,score_stay_active,score_move_every_hour,score_meet_daily_targets,score_training_frequency,score_training_volume,score_recovery_time,cal_active,cal_total,daily_movement,inactivity_alerts,steps,non_wear,rest,inactive,low,medium,high,average_met,met_min_inactive,met_min_low,met_min_medium,met_min_high,target_calories,target_km,target_miles,to_target_km,to_target_miles,day_start,day_end,class_5min
2018-12-05,93.0,100.0,100.0,78.0,100.0,99.0,98.0,1,1657,11,0,30,1071,355,12,2,0,0,0.96875,0,1,0,0,350,9.0,5.592339,8.0,4.970968,2018-12-05T04:00:00-08:00,2018-12-06T03:59:59-08:00,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022000000022111111111111111111111111111111111111111111111111111111111111111111111111
2018-12-06,95.0,79.0,100.0,95.0,100.0,98.0,100.0,496,2379,10683,0,13166,30,394,523,421,69,3,1.59375,13,258,185,17,400,10.0,6.21371,-2.0,-1.242742,2018-12-06T04:00:00-08:00,2018-12-07T03:59:59-08:00,111111111111132111111112222222222222223333333333443343333333332222232323223232323232232222233333443334222223434222222222222222232222222442223333332233332222222343304333333233333332333233322234212322222323333333320000033222222232233232111111111111111111111111111111111111111111111111111111
2018-12-07,88.0,62.0,100.0,78.0,100.0,97.0,100.0,295,2136,6205,0,8351,43,483,603,267,44,0,1.4375,17,153,111,0,300,7.0,4.349597,0.2,0.1242742,2018-12-07T04:00:00-08:00,2018-12-08T03:59:59-08:00,111111111112211111111111111111122222322222223223322222232222232233333332223331000000022223234034333322322222222222322223333223322222333332223222222222222223334332222333224323443222222222221111122333422222323232233222222222222223222334332111111111111111111111111111111111111111111111111111
2018-12-08,89.0,72.0,100.0,78.0,96.0,96.0,100.0,296,2129,5893,0,7723,0,559,560,286,33,2,1.40625,20,159,93,11,400,9.0,5.592339,2.4,1.4912904,2018-12-08T04:00:00-08:00,2018-12-09T03:59:59-08:00,111111111111111111111111111112322222222223232223222333422223223322332433333433432222233222222332333233333222222222233222333323323333432222222222323222322233223232223343332222333333222222222322222322222232222111111111243211111111111111111111111111111111111111111111111111111111111111111111
2018-12-09,91.0,78.0,100.0,78.0,100.0,96.0,100.0,368,2184,8189,0,11154,119,512,502,232,73,2,1.46875,11,146,182,11,400,10.0,6.21371,0.8,0.4970968,2018-12-09T04:00:00-08:00,2018-12-10T03:59:59-08:00,111111111122221232111111111111111111111122232222222222223222222333334320000000000000000000000023332333343222344444444432334442332332222223332222222332222222222232323333333322232223322222322222352222222223222222233234332223331111111111111111111111111111111111111111111111111221111111111111
2018-12-10,89.0,68.0,100.0,78.0,100.0,97.0,100.0,487,2375,10403,0,13094,0,407,597,338,91,7,1.59375,20,191,216,36,300,7.0,4.349597,-4.1,-2.5476211,2018-12-10T04:00:00-08:00,2018-12-11T03:59:59-08:00,111111111111111111111112212232233332222233322222323234323322323232232222233233323323323534443334444322234223223222222322223333453423322244232223233332333333322222323322211222223222233323223322222223334322322223222223332332222222232324231111111111111111111111111111111111111111111111111111
2018-12-11,87.0,62.0,95.0,78.0,100.0,96.0,98.0,315,2157,6434,1,9178,0,473,648,266,51,2,1.4375,18,141,127,14,300,7.0,4.349597,-0.2,-0.1242742,2018-12-11T04:00:00-08:00,2018-12-12T03:59:59-08:00,111111111111111111112222121222232322222322222111123322222322222222222222334323222232223322223422333333344222222322222334433233332111221122223322232232223432223444332222223222222222222232233232223334234343223323322222222222233342222111111111111111111111111111111111111111111111111121111111
2018-12-12,98.0,100.0,100.0,95.0,100.0,98.0,100.0,416,2168,8924,0,11862,414,518,273,144,85,6,1.4375,8,84,273,32,300,7.0,4.349597,-2.5,-1.5534275,2018-12-12T04:00:00-08:00,2018-12-13T03:59:59-08:00,111111111111111111111111111232222234333454444444444422000000000000000000000000000000000000000000000000000000000000000000000000000000000023222222232222222233332333333332322222223333332333323322322223443432222211123211111111111111111111111111111111111111111111111111111111111321111111111111
2018-12-13,97.0,90.0,100.0,95.0,100.0,97.0,100.0,356,2199,7393,0,9915,129,420,472,376,41,2,1.46875,12,207,107,14,300,7.0,4.349597,-1.1,-0.6835081000000001,2018-12-13T04:00:00-08:00,2018-12-14T03:59:59-08:00,111111111111111111212222222222232333433100000000000000000000000322322332322223222233433233343423323343234234232232223222333332332323333233333333322222222023223323433334332223223333323333333232222221022222222222222222234333221111111111111111111111111111111111111111111111111111111111111111
2018-12-14,91.0,82.0,100.0,78.0,100.0,97.0,100.0,352,2197,7069,0,8722,0,529,492,377,40,2,1.46875,13,207,103,12,400,10.0,6.21371,1.1,0.6835081000000001,2018-12-14T04:00:00-08:00,2018-12-15T03:59:59-08:00,111111111111111111111111111111111112223222222433422222323332333222222222222234333322222224222333322333243333323333333333334333323343322223233333322233333233232233333232222222222222223333222323332232223333323334343322222112311111111111111111111111111111111111111111111111111111111111111111
